AI ML,Agreeableness,Business Analysis,Communication skills,Computer Architecture,Computer Forensics Fundamentals,Conscientousness,Conversation,Cyber Security,Data Science,Database Fundamentals,Distributed Computing Systems,Emotional_Range,Extraversion,Graphics Designing,Hedonism,Information Security Specialist,Networking,Openness,Openness to Change,Programming Skills,Project Management,Self-enhancement,Self-transcendence,Software Development,Software Engineering,Technical Communication,Troubleshooting skills,label
5.9595911171674185,0.44090801953503767,0.0,0,0.0,0.03878237843594379,0.38081891504919246,0.044151107808570955,0.17373154028293608,4.642656204167442,2.9973797718515938,0.08463340246479445,0.5048460550547942,0.30945336371788745,0.1624543812893256,0.0819577129259938,,0.0,0.7998317793173917,0.5648398716588263,5.336401810236327,0.0,0.4590358081928247,0.19670978583506454,0.18066527298661744,4.113829694963658,0.0861769067860268,0.04864566331615611,AI ML Specialist
5.670151953180319,0.03618730187519675,2.9476054016524706,3,3.1172577902711676,3.11027888855007,0.4601400721612393,0.11815417671288797,3.149353732939636,4.733886226798129,2.8431639804723146,2.857091449123174,0.5346117372960123,0.6760674482068807,3.192671638580071,0.0,,2.8333529733665292,0.7535804798790956,0.3162638803032634,5.112752739022056,3.0159799067246187,0.10114164872944656,0.2819641877461961,2.9470686248452367,3.593478089679799,0.021008912915517708,2.999817877290054,AI ML Specialist
5.6187295873332115,0.013354111471645974,3.9112923203351015,5,3.9336630115892364,3.8563920846620148,0.30680995139769496,0.059718715757859794,4.1919888055216745,5.6227725623665865,4.119449959819367,3.8231349259143617,0.7173137341809959,0.4538489184569939,3.815555958395544,0.2757623912960578,,4.157720747760812,0.9821530095497997,0.40086938794337656,4.97618150465738,4.118275239543011,0.22696997522061313,0.17111089388901732,3.8769483782305083,3.9486029953991366,3.9209519207121297,3.8831599965146357,AI ML Specialist
5.610381934180163,0.0,1.1502396922228189,1,1.1691150741655794,3.0619744770234014,0.20341487940522723,0.08488862100682446,0.8881037355273649,4.839184244962926,1.0618770237289725,1.1766934153108783,0.3784015005799149,0.26588021446830495,0.8917527457410784,0.08992272714883363,,1.0969043983523592,0.7290921939163896,0.3151870697562831,5.118611316517389,1.1916816348733934,0.4061256905529797,0.06764440358243079,1.1065061551449176,4.542957143264637,0.8726164479240504,0.8026256528108752,AI ML Specialist
5.771716554070164,0.0,5.095075367979913,5,5.163650220775701,5.06997044932178,0.3989012218454982,0.18600356012206704,5.145267600233438,5.703170039355756,3.8219732353021363,4.879775352842054,0.4823601291301548,0.13646129227080975,4.8738188522399355,0.18024495743184893,,5.169503386255889,0.771926828173583,0.4599422988049884,5.326944841911148,5.051373817785032,0.4799659538950821,0.3750014034484034,4.91206259854647,3.6407469382579936,5.167990103095309,5.06334797024423,AI ML Specialist
5.888697591524421,0.2706974174175544,1.8979598442784567,2,1.8130787445104182,2.095123351528317,0.42026071362892414,0.0,1.8397981442273408,5.926400558705067,1.8026753228203158,2.116313906828146,0.4620206793065972,0.32602305222357336,2.0502975815430124,0.27341978708458126,,1.8509039456528618,0.8787375829969027,0.4251336228730916,4.7253447127014,2.0079447122571605,0.11654325875961305,0.3060573632851984,1.9889997925426526,4.71063264176299,5.186439540836646,2.087998740295612,AI ML Specialist
5.323711694238071,0.0,1.1270070289959422,1,1.1551661776124846,1.1214972555198592,0.4030657243722355,0.06273358283467188,0.8505415803276776,5.512855941973504,0.9475927942043617,2.921571576572598,0.6924747645174976,0.5302962971423564,1.0929067793818008,0.0,,1.0952149513202558,0.9763576009084655,0.41692695204113867,5.218895906892643,0.8714217729372647,0.11295764998626795,0.19533077123622583,1.0347298963441205,3.7559968429975417,0.9677703281430786,0.9584275263719509,AI ML Specialist
5.412904614398462,0.21445343704749598,2.95160114348827,3,3.040978269905807,3.156246280334913,0.4166162534037026,0.0,2.9919279097358014,5.899517665649695,2.9640284507241574,3.1888273862569703,0.6221238663425619,0.5820761243059055,2.8399521652809003,0.3553886474055157,,3.1460579955473293,0.8982324833064228,0.2671169850668378,5.046576317304823,2.8002489477202785,0.44490156387865976,0.1798787915598904,2.8870892364547838,4.231922267419581,2.8888748458501436,3.108709751524026,AI ML Specialist
5.307081500958442,0.0,2.1411888107813035,2,1.8989096555943619,2.1194141710164627,0.38382655027970713,0.052043215854504124,2.0596776142927014,5.273088980396894,1.8051596677779098,1.9091539965387503,0.38799385654278706,0.38704369593382915,2.004035169562585,0.1386261880528537,,2.0396407022295175,0.9045015424255739,0.3418846526673619,4.658727649677527,1.9855375693249457,0.3352250945344959,0.14330230672029218,1.8023871348874108,4.150654180072697,1.8560498859061036,2.015262577268509,AI ML Specialist
5.078471771037402,0.0,0.918137362949504,1,0.9306861929497814,0.9872346440655878,0.47902587626653914,0.08712827984645162,1.0210499850900947,4.801870338633168,1.1400690567468132,0.9237216555342291,0.4454520162610275,0.5594086847878538,0.9383110093609673,0.0,,1.0133716522025977,0.804609160863625,0.5895308972801165,5.067174635064309,0.9786141837250867,0.19672253677029838,0.24395106937317818,1.0067402163652936,3.87019681828838,3.939794827604444,0.8160835369422142,AI ML Specialist
